Ratio of the number of blocks generated by each node in the Longest Chain of the tree to the total number of blocks it generates	No blocks generated
Fast Node
Low CPU Node
Block ID	Block arrival time	No. of transactions	Peer Balance
7db6a0bcf3eee81a4ca99519e3d8fe716bc399070a1e278fd11cd9a0bb948c89	706.0308362569382	474	{0: 23, 1: 9, 2: 27, 3: 1280, 4: 50, 5: 4, 6: 25, 7: 2, 8: 15, 9: 5, 10: 2, 11: 10, 12: 13, 13: 19, 14: 7, 15: 7, 16: 1412, 17: 79, 18: 46, 19: 0}
857d43166fb482e372d92b8472646a9593a5335a6d1d02c1902f7b55aa4d9f7c	714.0361161820819	230	{0: 53, 1: 37, 2: 47, 3: 1244, 4: 23, 5: 39, 6: 0, 7: 19, 8: 3, 9: 11, 10: 0, 11: 12, 12: 11, 13: 23, 14: 20, 15: 40, 16: 1468, 17: 0, 18: 2, 19: 33}
49d484f20f54236d1d73c26dfefff129a711a4d111397488a0f0d42c85aa8d94	723.5936694508846	223	{0: 34, 1: 26, 2: 55, 3: 1232, 4: 11, 5: 1, 6: 20, 7: 63, 8: 21, 9: 11, 10: 12, 11: 13, 12: 23, 13: 3, 14: 1, 15: 35, 16: 1558, 17: 1, 18: 11, 19: 4}
68d3eeb319e1d54ae3507b052b9bf72bdd0010f4a28ef15174cc20de840de0d0	733.0717554393776	151	{0: 7, 1: 19, 2: 2, 3: 1231, 4: 21, 5: 12, 6: 2, 7: 97, 8: 9, 9: 1, 10: 41, 11: 0, 12: 69, 13: 25, 14: 15, 15: 14, 16: 1582, 17: 5, 18: 11, 19: 22}
ef315e40490f84591891c960eb44f5bb242450c09484d6a2b5ce5cddb462c067	757.2587102530804	319	{0: 53, 1: 20, 2: 8, 3: 1237, 4: 24, 5: 29, 6: 6, 7: 39, 8: 31, 9: 4, 10: 1, 11: 11, 12: 26, 13: 0, 14: 23, 15: 1, 16: 1647, 17: 40, 18: 25, 19: 10}
55309b1419c20954d0e3b3ce7561919d8d68407cef723e5425a38410bfcfa46e	804.3247908099063	557	{0: 105, 1: 52, 2: 44, 3: 1013, 4: 27, 5: 16, 6: 10, 7: 24, 8: 5, 9: 33, 10: 28, 11: 60, 12: 2, 13: 21, 14: 1, 15: 71, 16: 1601, 17: 91, 18: 24, 19: 57}
13034d1cfb01760c959061046979fd8eb79a746a345fa5075a7a9160d652ab45	834.9786676435941	659	{0: 73, 1: 10, 2: 18, 3: 884, 4: 77, 5: 94, 6: 9, 7: 2, 8: 55, 9: 1, 10: 140, 11: 52, 12: 10, 13: 11, 14: 16, 15: 4, 16: 1835, 17: 26, 18: 6, 19: 12}
728f44aa5ee3bc1ecbe9e5b7ef72c021efcf801342c505f118e9b4f462080b87	842.8971462812484	297	{0: 0, 1: 7, 2: 2, 3: 964, 4: 32, 5: 13, 6: 6, 7: 20, 8: 51, 9: 40, 10: 45, 11: 2, 12: 36, 13: 14, 14: 26, 15: 59, 16: 2017, 17: 4, 18: 42, 19: 5}
5ac7d91937d43357b113fbcff287c5daf6ba26521cc4290bf320dc044a3b76bc	862.2432934499452	270	{0: 35, 1: 15, 2: 19, 3: 953, 4: 14, 5: 130, 6: 10, 7: 20, 8: 7, 9: 12, 10: 16, 11: 14, 12: 0, 13: 25, 14: 6, 15: 27, 16: 2052, 17: 6, 18: 21, 19: 53}
9484bb7774665246b46f68577202fdc1eefc73f0cef082bc67508322af832c70	877.7074189076308	356	{0: 11, 1: 3, 2: 8, 3: 979, 4: 21, 5: 12, 6: 11, 7: 39, 8: 29, 9: 45, 10: 6, 11: 14, 12: 18, 13: 7, 14: 27, 15: 22, 16: 2169, 17: 22, 18: 24, 19: 18}
ce0f664828434b0dd64d1f42a441cf1429df2625638718098b57c81c87758787	880.1477939429384	69	{0: 5, 1: 2, 2: 0, 3: 1018, 4: 8, 5: 9, 6: 16, 7: 150, 8: 0, 9: 0, 10: 54, 11: 5, 12: 7, 13: 18, 14: 3, 15: 22, 16: 2201, 17: 17, 18: 0, 19: 0}
f6a03e4b08801c77f67bb1d5816a89d13c042e7a06669dccdf6f12c3bdd8b06c	940.2705936258722	659	{0: 19, 1: 102, 2: 61, 3: 815, 4: 0, 5: 0, 6: 74, 7: 20, 8: 23, 9: 2, 10: 22, 11: 3, 12: 61, 13: 83, 14: 29, 15: 32, 16: 2156, 17: 30, 18: 35, 19: 18}
1e3425ab296aeca0aee6383120cea18f51eea47781cecf1a7da2211cfb2c1776	947.746817871852	239	{0: 6, 1: 36, 2: 26, 3: 1010, 4: 10, 5: 5, 6: 28, 7: 1, 8: 18, 9: 19, 10: 35, 11: 22, 12: 16, 13: 17, 14: 13, 15: 9, 16: 2292, 17: 8, 18: 42, 19: 22}
e2d9e4528b2e038ed79af86f555f70d759998b3e0832cea9867a71b59d415531	961.1429296644877	219	{0: 41, 1: 29, 2: 36, 3: 937, 4: 5, 5: 55, 6: 9, 7: 16, 8: 45, 9: 12, 10: 9, 11: 45, 12: 7, 13: 0, 14: 2, 15: 11, 16: 2336, 17: 46, 18: 7, 19: 37}
